Date,Headline,Manual_Sentiment,TextBlob_Sentiment,Combined_Sentiment
2015-01-23,"Saudi King Abdullah dies, Salman becomes king",-0.2,0.0,-0.1
2015-04-02,Iran nuclear deal framework agreed,0.4,0.0,0.2
2015-11-24,Turkey shoots down Russian jet near Syria border,-0.5,-0.018518518518518517,-0.25925925925925924
2016-01-16,"Iran nuclear deal implemented, sanctions lifted",0.3,0.0,0.15
2016-09-28,OPEC agrees first output cut in 8 years,0.6,0.25,0.425
2017-04-07,US strikes Syria with 59 Tomahawk missiles,-0.8,0.0,-0.4
2017-06-05,Saudi Arabia and allies cut ties with Qatar,-0.4,0.0,-0.2
2017-09-03,North Korea conducts sixth nuclear test,-0.3,0.0,-0.15
2018-05-08,US withdraws from Iran nuclear deal,-0.7,0.0,-0.35
2018-10-02,Saudi journalist Khashoggi killed in Istanbul,-0.5,-0.2,-0.35
2018-11-05,US reimposes sanctions on Iran's oil exports,-0.6,0.0,-0.3
2019-06-13,Tanker attacks in Gulf of Oman,-0.9,0.0,-0.45
2019-09-14,Drone attacks on Saudi oil facilities,-1.2,0.0,-0.6
2020-01-03,US drone strike kills Iranian general Soleimani,-1.0,0.05000000000000002,-0.475
2020-04-20,COVID-19 causes negative oil prices,0.1,-0.3,-0.09999999999999999
2020-11-03,Biden elected US president,0.2,0.0,0.1
2021-03-23,Ever Given blocks Suez Canal,-0.4,0.0,-0.2
2021-07-19,OPEC+ agrees to gradually increase production,0.3,0.0,0.15
2022-02-24,Russia invades Ukraine,-1.5,0.0,-0.75
2022-03-08,US bans Russian oil imports,-0.8,0.0,-0.4
2022-10-05,OPEC+ agrees largest production cut since 2020,-0.7,0.0,-0.35
2023-04-02,OPEC+ announces surprise oil output cuts,-0.6,0.0,-0.3
2023-10-07,"Hamas attacks Israel, Gaza conflict begins",-1.1,0.0,-0.55
2024-01-12,US and UK strike Houthi targets in Yemen,-0.9,0.0,-0.45
2024-03-08,Houthis attack ships in Red Sea,-0.7,0.0,-0.35
2025-06-13,Israel launches airstrike on Iranian nuclear site,-0.8,0.0,-0.4
2025-06-22,US conducts military strike on Iranian radar,-0.9,-0.1,-0.5
2025-06-25,UN warns of escalating Gulf tensions,-0.5,0.0,-0.25
